sample_id,track_id,first_frame,last_frame,observation_count,contact_sheet,class_label,fine_label,ignore,review_status,annotator,notes
multidomain_traffic_street_35s,8,127,1050,911,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000008.jpg,,,false,draft,,
multidomain_traffic_street_35s,18,344,1050,707,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000018.jpg,,,false,draft,,
multidomain_traffic_street_35s,33,476,1050,575,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000033.jpg,,,false,draft,,
multidomain_traffic_street_35s,40,594,1026,420,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000040.jpg,,,false,draft,,
multidomain_traffic_street_35s,44,639,1011,317,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000044.jpg,,,false,draft,,
multidomain_traffic_street_35s,47,668,1050,313,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000047.jpg,,,false,draft,,
multidomain_traffic_street_35s,11,180,484,303,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000011.jpg,,,false,draft,,
multidomain_traffic_street_35s,38,572,876,299,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000038.jpg,,,false,draft,,
multidomain_traffic_street_35s,5,3,254,227,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000005.jpg,,,false,draft,,
multidomain_traffic_street_35s,46,665,909,227,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000046.jpg,,,false,draft,,
multidomain_traffic_street_35s,60,783,1050,223,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000060.jpg,,,false,draft,,
multidomain_traffic_street_35s,17,327,549,215,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000017.jpg,,,false,draft,,
multidomain_traffic_street_35s,39,577,801,211,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000039.jpg,,,false,draft,,
multidomain_traffic_street_35s,55,734,984,194,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000055.jpg,,,false,draft,,
multidomain_traffic_street_35s,1,3,214,188,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000001.jpg,,,false,draft,,
multidomain_traffic_street_35s,49,681,932,185,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000049.jpg,,,false,draft,,
multidomain_traffic_street_35s,2,3,181,177,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000002.jpg,,,false,draft,,
multidomain_traffic_street_35s,58,779,964,163,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000058.jpg,,,false,draft,,
multidomain_traffic_street_35s,37,520,681,162,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000037.jpg,,,false,draft,,
multidomain_traffic_street_35s,56,749,918,162,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000056.jpg,,,false,draft,,
multidomain_traffic_street_35s,51,701,862,160,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000051.jpg,,,false,draft,,
multidomain_traffic_street_35s,15,281,432,150,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000015.jpg,,,false,draft,,
multidomain_traffic_street_35s,65,864,1050,150,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000065.jpg,,,false,draft,,
multidomain_traffic_street_35s,50,685,944,137,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000050.jpg,,,false,draft,,
multidomain_traffic_street_35s,4,3,159,135,F:\Tracking\data\semantic_gt\multidomain_suite_8bit\multidomain_traffic_street_35s\contact_sheets\track_000004.jpg,,,false,draft,,
